dropout_rate,test1,test2,test3,test4,test5
0.1,0.6563249826431274,0.8460500240325928,0.09284999966621399,0.798550009727478,0.4890500009059906
0.11,0.36024999618530273,0.08737500011920929,0.7655749917030334,0.654574990272522,0.13770000636577606
0.12,0.03127500042319298,0.8582249879837036,0.17155000567436218,0.04397499933838844,0.01472499966621399
0.13,0.03824999928474426,0.7946249842643738,0.8662999868392944,0.5209500193595886,0.3311249911785126
0.14,0.908424973487854,0.0625,0.2950249910354614,0.05209999904036522,0.45787501335144043
0.15,0.2760249972343445,0.04809999838471413,0.11885000020265579,0.8216750025749207,0.9581249952316284
0.16,0.4787999987602234,0.8197000026702881,0.024025000631809235,0.18000000715255737,0.13907499611377716
0.17,0.03680000081658363,0.40494999289512634,0.06134999915957451,0.5630499720573425,0.9613999724388123
0.18,0.043150000274181366,0.9142749905586243,0.17482499778270721,0.37907499074935913,0.049949999898672104
0.19,0.8803750276565552,0.13712500035762787,0.36627501249313354,0.2591499984264374,0.04129999876022339
0.2,0.3151249885559082,0.024250000715255737,0.009624999947845936,0.3744249939918518,0.43252500891685486
0.21,0.1692499965429306,0.8363500237464905,0.15697500109672546,0.07590000331401825,0.9404000043869019
0.22,0.03844999894499779,0.021375000476837158,0.35997501015663147,0.5312749743461609,0.05117499828338623
0.23,0.04457499831914902,0.03909999877214432,0.08489999920129776,0.08049999922513962,0.3003999888896942
0.24,0.4357750117778778,0.07604999840259552,0.5342000126838684,0.0996749997138977,0.06037500128149986
0.25,0.2826499938964844,0.07000000029802322,0.0934000015258789,0.06132499873638153,0.20440000295639038
0.26,0.03772500157356262,0.1277499943971634,0.5809249877929688,0.05665000155568123,0.10872499644756317
0.27,0.27847498655319214,0.042525000870227814,0.1253499984741211,0.09427499771118164,0.07415000349283218
0.28,0.22280000150203705,0.04307499900460243,0.3630250096321106,0.03347500041127205,0.2094999998807907
0.29,0.3267500102519989,0.09862499684095383,0.1198749989271164,0.21137499809265137,0.04280000180006027
0.3,0.009800000116229057,0.051100000739097595,0.07342500239610672,0.0760750025510788,0.03657500073313713
0.31,0.07012499868869781,0.04100000113248825,0.05272499844431877,0.3133000135421753,0.18334999680519104
0.32,0.043175000697374344,0.01924999989569187,0.11919999867677689,0.04989999905228615,0.5544999837875366
0.33,0.18674999475479126,0.0596500001847744,0.030950000509619713,0.10849999636411667,0.08065000176429749
0.34,0.038750000298023224,0.04077500104904175,0.051350001245737076,0.04572499915957451,0.2456749975681305
0.35,0.04442499950528145,0.04222499951720238,0.04192499816417694,0.07729999721050262,0.04857499897480011
0.36,0.0411750003695488,0.06552500277757645,0.018275000154972076,0.06587500125169754,0.04462499916553497
0.37,0.04910000041127205,0.018275000154972076,0.4514999985694885,0.17399999499320984,0.044199999421834946
0.38,0.04580000042915344,0.23412500321865082,0.04122500121593475,0.11112499982118607,0.11042500287294388
0.39,0.04390000179409981,0.1530500054359436,0.06379999965429306,0.08555000275373459,0.3027249872684479
0.4,0.042525000870227814,0.2480749934911728,0.32087498903274536,0.35304999351501465,0.8472750186920166
